vraie_espece,couverture,n_observations
11352,1.0,1
11354,0.5,2
11356,1.0,2
11485,1.0,2
11494,1.0,1
11550,1.0,1
11585,1.0,3
11644,1.0,4
11693,1.0,1
11699,1.0,1
11704,1.0,3
11705,1.0,27
11771,1.0,8
11776,1.0,2
11780,1.0,1
11787,1.0,9
11804,1.0,4
11809,1.0,1
11831,1.0,3
11840,1.0,5
11842,1.0,6
11856,1.0,3
11861,1.0,1
11863,1.0,9
11924,1.0,18
11929,1.0,1
11930,1.0,1
11935,1.0,1
11936,1.0,2
11937,1.0,3
11939,1.0,4
11943,1.0,1
11947,1.0,7
11950,1.0,3
12036,1.0,1
12086,1.0,4
12147,1.0,1
12168,1.0,4
12203,1.0,1
12229,0.9714285714285714,35
12230,1.0,2
12255,1.0,3
12290,1.0,1
12356,1.0,7
12368,1.0,2
12376,1.0,3
12385,0.8125,16
12487,1.0,4
12611,0.0,1
12613,1.0,1
12651,1.0,1
12751,1.0,2
12754,1.0,2
12776,1.0,1
12779,0.96,25
12782,1.0,3
12796,0.8333333333333334,6
12800,1.0,1
12836,0.0,1
12925,1.0,1
12979,0.6666666666666666,3
12981,1.0,1
13052,1.0,1
13057,1.0,1
13160,0.5,4
13237,1.0,1
13271,1.0,15
13275,1.0,4
13280,0.8333333333333334,6
13284,1.0,2
13310,1.0,1
13321,1.0,1
13524,1.0,2
13539,1.0,1
13542,1.0,5
13548,1.0,7
13557,0.6,5
13572,0.75,4
13577,1.0,1
13581,0.9523809523809523,21
13589,1.0,42
13591,1.0,1
13610,0.3333333333333333,3
13613,0.75,4
13620,1.0,2
13621,1.0,11
13651,0.8,10
13674,1.0,1
13711,1.0,9
13731,1.0,32
13733,0.5,2
13739,0.5,2
13761,1.0,2
13815,1.0,2
13864,1.0,1
13867,0.0,1
13870,1.0,10
13887,1.0,1
13888,1.0,1
13894,1.0,1
13902,1.0,1
13906,1.0,1
14068,1.0,1
14144,1.0,1
14149,1.0,1
14190,1.0,6
14207,1.0,14
14215,0.9230769230769231,13
14224,1.0,35
14306,1.0,1
14313,1.0,2
14315,0.8,5
14320,1.0,1
14321,0.0,1
14329,1.0,1
14343,1.0,2
14347,0.4,5
14348,1.0,2
14355,0.5,2
14394,1.0,7
14413,1.0,1
14437,1.0,1
14463,0.8,5
14471,1.0,1
14481,1.0,6
14482,1.0,3
14654,1.0,1
14656,1.0,1
14658,1.0,1
14660,0.8571428571428571,7
14675,1.0,2
14753,1.0,3
14756,0.8,5
14757,0.0,1
14816,1.0,1
14938,0.0,1
14955,1.0,10
15003,1.0,2
15004,1.0,1
15155,1.0,6
15171,1.0,1
15177,0.8,5
15181,1.0,1
15184,1.0,6
15231,1.0,4
15268,0.9285714285714286,28
15306,1.0,1
15353,1.0,1
15361,1.0,1
15371,1.0,7
15378,1.0,2
15443,1.0,1
15463,1.0,5
15466,1.0,1
15471,1.0,1
15494,1.0,1
15515,0.5,2
15590,1.0,6
15669,0.6666666666666666,3
15676,1.0,3
15679,1.0,5
15696,1.0,1
15699,1.0,2
15704,0.9166666666666666,12
15708,1.0,1
15710,1.0,2
15716,1.0,3
15745,1.0,8
15757,0.5833333333333334,12
15762,1.0,14
15763,1.0,3
15768,0.9523809523809523,21
15775,1.0,3
15784,1.0,5
15912,1.0,5
15917,1.0,8
15920,1.0,6
15922,1.0,3
15989,1.0,6
15990,1.0,1
15995,1.0,21
16116,1.0,1
16148,1.0,1
16159,1.0,1
16165,1.0,1
16166,1.0,1
16560,1.0,1
16617,1.0,3
16626,0.75,12
16637,1.0,2
16649,1.0,1
16653,1.0,7
16676,1.0,1
16683,1.0,2
16688,1.0,1
16697,1.0,1
16698,1.0,2
16746,0.0,3
16810,1.0,1
16990,1.0,3
16991,1.0,4
16993,1.0,1
16996,0.8333333333333334,6
17002,0.9333333333333333,30
17029,1.0,1
17085,1.0,4
17086,1.0,2
17132,1.0,15
17237,1.0,4
17306,1.0,1
17318,1.0,1
17388,1.0,9
17398,1.0,5
17414,0.9523809523809523,21
17419,1.0,1
17563,1.0,1
17564,1.0,10
17649,1.0,2
17655,1.0,1
17657,1.0,6
17661,1.0,1
17714,1.0,2
17726,1.0,2
17745,0.25,4
17758,1.0,2
17763,1.0,3
17854,1.0,1
17906,1.0,1
17936,1.0,1
17962,1.0,1
17983,1.0,4
18005,1.0,5
18015,1.0,3
18063,1.0,1
18076,1.0,1
18092,0.0,1
18098,1.0,6
18117,1.0,1
18135,1.0,1
18249,1.0,1
18387,1.0,6
18544,0.5,2
18621,1.0,1
18643,1.0,1
18662,1.0,16
18663,1.0,2
18705,1.0,1
18715,1.0,6
18716,1.0,1
18738,0.6666666666666666,3
18740,1.0,2
18754,0.9047619047619048,21
18809,1.0,2
18815,1.0,1
18817,1.0,2
18820,1.0,1
18948,0.0,1
19011,1.0,1
19037,1.0,1
19039,1.0,1
19110,1.0,2
19155,1.0,2
19344,1.0,1
19470,0.8333333333333334,6
19472,1.0,2
19473,0.9705882352941176,34
19478,1.0,1
19486,0.875,8
19491,1.0,7
19502,1.0,4
19521,1.0,2
19555,1.0,3
19562,1.0,7
19565,1.0,2
19566,1.0,2
19567,1.0,3
19583,1.0,1
19612,1.0,1
19614,1.0,1
19618,1.0,1
19619,1.0,1
19622,1.0,2
19687,1.0,6
19761,1.0,5
19773,1.0,1
19775,1.0,4
19804,1.0,6
19814,1.0,2
19822,1.0,1
19823,1.0,1
19841,1.0,1
19846,0.42857142857142855,7
19848,1.0,1
19861,0.7142857142857143,7
19889,1.0,4
19919,1.0,1
19921,1.0,3
19923,1.0,6
19927,1.0,9
20072,1.0,4
20077,1.0,1
20195,0.8333333333333334,6
20196,0.75,12
20201,1.0,4
20208,1.0,2
20209,1.0,3
20210,1.0,1
20214,1.0,2
20237,1.0,1
20255,1.0,2
20261,1.0,5
20264,1.0,14
20293,0.8,5
20326,1.0,1
20333,1.0,2
20343,1.0,1
20344,1.0,1
20366,1.0,4
20376,0.0,1
20377,0.6666666666666666,3
20400,1.0,1
20441,1.0,18
20467,1.0,5
20526,1.0,1
20532,1.0,13
20682,0.0,1
20688,1.0,1
21016,1.0,40
21018,0.3333333333333333,3
21022,0.875,8
21041,1.0,37
21079,0.8888888888888888,9
21160,0.9444444444444444,18
21188,0.8823529411764706,17
21227,1.0,1
21231,1.0,2
21232,1.0,1
21239,0.0,1
21290,1.0,12
21310,1.0,4
21313,0.0,1
21341,1.0,6
21360,1.0,1
21394,1.0,3
21410,1.0,4
21431,0.6666666666666666,3
21440,1.0,1
21441,1.0,4
21456,0.0,1
21469,1.0,3
21477,1.0,5
21517,0.75,4
21518,1.0,1
21525,0.5,2
21526,1.0,7
21539,1.0,1
21551,0.5,2
21568,1.0,1
21617,1.0,5
21626,1.0,3
21629,1.0,4
21635,0.5,2
21713,0.0,1
21787,1.0,1
21790,1.0,1
21803,1.0,2
21816,1.0,53
21820,1.0,1
21825,1.0,2
21827,1.0,1
21868,1.0,5
21886,0.8571428571428571,7
21959,1.0,4
21960,1.0,1
22021,1.0,3
22023,1.0,1
22069,1.0,1
22122,1.0,14
22154,0.0,4
22326,1.0,1
22330,1.0,1
22339,1.0,4
22340,1.0,2
22409,1.0,12
22456,1.0,2
22485,1.0,8
22502,1.0,5
22518,1.0,1
22532,1.0,5
22542,1.0,26
22552,1.0,3
22574,1.0,6
22699,0.8333333333333334,6
22728,1.0,2
22787,1.0,9
22814,1.0,1
22819,1.0,1
22830,1.0,2
22832,1.0,2
22834,1.0,1
22836,1.0,1
22845,0.8181818181818182,11
22892,1.0,3
22903,1.0,1
22906,1.0,6
22916,1.0,1
22936,1.0,5
22943,1.0,26
22944,1.0,2
22953,1.0,2
22954,1.0,4
22964,1.0,1
22967,1.0,7
22974,1.0,1
22975,1.0,12
22981,1.0,2
22982,1.0,3
22987,1.0,3
22989,1.0,1
22990,0.8571428571428571,21
23000,1.0,1
23005,1.0,1
23037,1.0,1
23045,0.7142857142857143,7
23047,1.0,2
23053,0.8571428571428571,7
23064,1.0,1
23065,1.0,5
23070,1.0,1
23073,1.0,2
23080,1.0,1
23095,1.0,5
23317,1.0,3
23375,1.0,2
23377,1.0,1
23384,1.0,1
23392,1.0,1
23397,0.5,2
23415,1.0,1
23422,1.0,1
23423,1.0,1
23425,0.9090909090909091,11
23434,1.0,1
23445,1.0,1
23448,1.0,8
23453,1.0,2
23456,1.0,7
23458,0.0,1
23461,1.0,3
23463,1.0,1
23467,1.0,3
23469,1.0,3
23486,1.0,7
23492,0.75,4
23504,1.0,1
23508,0.0,1
23509,1.0,1
23510,1.0,2
23529,1.0,5
23545,0.9166666666666666,12
23557,1.0,3
23575,1.0,6
23624,1.0,1
23626,1.0,4
23629,1.0,1
23633,0.8,5
23640,1.0,1
23653,1.0,2
23654,1.0,5
23661,0.75,8
23666,1.0,3
23671,0.5,2
23673,1.0,5
23677,1.0,1
23681,1.0,2
23682,1.0,2
23683,1.0,2
23690,1.0,26
23692,1.0,5
23694,1.0,8
23705,1.0,8
23709,1.0,1
23759,1.0,3
23760,1.0,3
23763,0.75,4
23765,1.0,6
23770,0.8571428571428571,7
23813,1.0,15
23835,1.0,2
23847,1.0,4
23871,1.0,1
23876,1.0,2
23886,1.0,1
23889,1.0,15
23891,1.0,2
23892,1.0,1
23894,1.0,25
23904,1.0,3
23926,1.0,4
23930,1.0,3
23931,1.0,2
23939,1.0,1
23941,1.0,4
23947,1.0,1
24005,1.0,1
24035,1.0,2
24121,1.0,1
24124,1.0,1
24341,0.0,1
24356,1.0,3
24415,1.0,1
24505,1.0,1
24695,0.6666666666666666,3
24760,0.9230769230769231,13
24767,1.0,1
24841,1.0,5
24939,1.0,4
25106,1.0,3
25110,1.0,1
25300,0.0,1
25305,0.0,2
25346,0.9534883720930233,43
25407,0.0,1
25410,1.0,6
25414,1.0,1
25473,1.0,11
25478,1.0,1
25499,1.0,9
25500,1.0,2
25502,1.0,1
25513,1.0,2
25543,1.0,3
25615,1.0,11
25703,1.0,1
25738,1.0,1
25742,0.875,8
25775,1.0,38
25779,0.5,4
25781,0.0,1
25783,1.0,10
25793,1.0,1
25802,1.0,4
25813,1.0,4
25903,1.0,1
25965,0.425,40
26004,1.0,1
26006,1.0,15
26057,1.0,1
26071,1.0,1
26090,1.0,1
26100,0.3333333333333333,6
26224,1.0,2
26318,1.0,1
26329,0.8181818181818182,11
26342,1.0,15
26351,1.0,1
26384,1.0,4
26402,0.0,1
26414,1.0,5
26442,1.0,1
26452,1.0,1
26455,1.0,3
26495,1.0,13
26497,0.9666666666666667,30
26526,1.0,3
26527,1.0,1
26528,1.0,5
26529,1.0,9
26542,1.0,7
26546,1.0,1
26639,0.6666666666666666,3
26697,1.0,3
26704,1.0,4
26735,1.0,6
26739,1.0,1
26747,0.5,2
26748,1.0,4
26751,1.0,8
26752,0.6666666666666666,3
26753,1.0,1
26786,1.0,1
26919,0.9444444444444444,18
26974,1.0,1
26978,1.0,9
26982,1.0,1
26983,1.0,5
27028,0.5555555555555556,9
27029,1.0,1
27031,1.0,1
27034,1.0,1
27068,1.0,1
27073,1.0,2
27125,0.6666666666666666,3
27130,1.0,1
27134,1.0,5
27239,1.0,1
27279,1.0,2
27284,1.0,1
27300,1.0,1
27314,1.0,6
27328,1.0,3
27361,1.0,1
27366,0.0,1
27379,1.0,3
27385,1.0,1
27387,1.0,3
27392,1.0,2
27393,0.7272727272727273,11
27404,1.0,1
27418,1.0,1
27452,1.0,1
27457,1.0,8
27525,1.0,2
27528,1.0,1
27533,1.0,2
27537,1.0,2
27541,1.0,1
27546,1.0,1
27570,0.9666666666666667,30
27635,1.0,2
27652,1.0,3
27653,1.0,1
27666,1.0,26
27681,1.0,4
27685,1.0,6
27701,1.0,1
27746,1.0,1
27909,0.0,1
27927,0.5,2
27981,1.0,2
28015,1.0,3
28102,1.0,5
28133,0.75,4
28138,1.0,4
28151,1.0,1
28155,1.0,1
28163,1.0,9
28169,0.5,2
28198,1.0,5
28211,1.0,1
28214,0.6,5
28247,1.0,2
28313,1.0,1
28315,1.0,1
28326,1.0,1
28345,1.0,1
28397,1.0,1
28450,1.0,3
28463,0.75,4
28465,0.25,4
28467,1.0,1
28475,1.0,2
28477,1.0,2
