vraie_espece,couv_std,n_obs,groupe,couv_pas,diff
7023,1.0,1,Rare,1.0,0.0
7031,1.0,4,Rare,1.0,0.0
7045,1.0,2,Rare,1.0,0.0
7130,1.0,1,Rare,1.0,0.0
7151,0.8571428571428571,7,Rare,0.8571428571428571,0.0
7157,1.0,13,Commun,1.0,0.0
7165,1.0,1,Rare,1.0,0.0
7166,1.0,11,Commun,1.0,0.0
7249,1.0,6,Rare,1.0,0.0
7289,1.0,2,Rare,1.0,0.0
7294,1.0,2,Rare,1.0,0.0
7394,1.0,2,Rare,1.0,0.0
7422,1.0,1,Rare,1.0,0.0
7443,1.0,31,Commun,1.0,0.0
7511,1.0,4,Rare,1.0,0.0
7514,1.0,2,Rare,1.0,0.0
7525,1.0,3,Rare,1.0,0.0
7545,1.0,6,Rare,1.0,0.0
7624,1.0,1,Rare,1.0,0.0
7625,0.0,1,Rare,0.0,0.0
7627,1.0,1,Rare,1.0,0.0
7687,1.0,5,Rare,1.0,0.0
7690,1.0,5,Rare,1.0,0.0
7693,0.0,1,Rare,0.0,0.0
7761,1.0,1,Rare,1.0,0.0
7763,1.0,2,Rare,1.0,0.0
7764,1.0,2,Rare,1.0,0.0
7765,1.0,1,Rare,1.0,0.0
7808,1.0,1,Rare,1.0,0.0
7812,1.0,3,Rare,1.0,0.0
7820,0.0,2,Rare,0.0,0.0
7832,1.0,1,Rare,1.0,0.0
7835,1.0,1,Rare,1.0,0.0
7859,0.3333333333333333,3,Rare,0.3333333333333333,0.0
7883,1.0,2,Rare,1.0,0.0
7921,1.0,12,Commun,1.0,0.0
7956,1.0,12,Commun,1.0,0.0
7991,1.0,1,Rare,1.0,0.0
8227,1.0,1,Rare,1.0,0.0
8228,1.0,1,Rare,1.0,0.0
8234,1.0,1,Rare,1.0,0.0
8239,1.0,2,Rare,1.0,0.0
8242,1.0,1,Rare,1.0,0.0
8244,1.0,2,Rare,1.0,0.0
8247,1.0,8,Rare,1.0,0.0
8261,1.0,1,Rare,1.0,0.0
8263,1.0,1,Rare,1.0,0.0
8268,1.0,2,Rare,1.0,0.0
8271,1.0,1,Rare,1.0,0.0
8331,1.0,1,Rare,1.0,0.0
8333,1.0,1,Rare,1.0,0.0
8338,1.0,16,Rare,1.0,0.0
8423,1.0,9,Rare,1.0,0.0
8448,1.0,1,Rare,1.0,0.0
8449,1.0,1,Rare,1.0,0.0
8454,1.0,3,Rare,1.0,0.0
8519,0.0,1,Rare,0.0,0.0
8587,0.625,8,Rare,0.375,-0.25
8590,1.0,5,Rare,1.0,0.0
8594,0.75,4,Rare,0.75,0.0
8602,1.0,1,Rare,1.0,0.0
8689,0.6,20,Commun,0.6,0.0
8706,1.0,2,Rare,1.0,0.0
8707,1.0,2,Rare,1.0,0.0
